name,sex,NameCount,Rand
Abygaël,F,21,"0,726302324"
Abygaelle,F,197,"0,365093674"
Abygaëlle,F,176,"0,283930996"
Acacia,F,4,"0,272359932"
Acelya,F,56,"0,300318907"
Acher,M,4,"0,727331656"
Achil,M,3,"0,821759703"
Achille,F,76,"0,862371176"
Achille,M,10780,"0,287750566"
Achilles,M,31,"0,742903471"
Achour,M,25,"0,73241486"
Achraf,M,799,"0,940459298"
Acia,F,3,"0,92854301"
Acil,F,3,"0,761061166"
Ada,F,213,"0,594728241"
Adalbert,M,58,"0,679156578"
Adaline,F,71,"0,310932518"
Adam,M,60773,"0,187569185"
Adam,F,3,"0,240115504"
Âdam,M,3,"0,857522346"
Adama,M,1703,"0,573106076"
Adama,F,441,"0,438566742"
Adame,M,870,"0,055912964"
Adame,F,9,"0,136647467"
Adamo,M,3,"0,914689729"
Adams,M,34,"0,716645414"
Adan,M,347,"0,365631875"
Adar,M,26,"0,269999768"
Adda,M,3,"0,277601392"
Adda,F,3,"0,646125468"
Addison,F,4,"0,311680416"
Adeel,M,3,"0,323952983"
Adel,M,6466,"0,787456753"
Adela,F,63,"0,458403124"
Adelaide,M,159,"0,761458144"
Adelaide,F,5992,"0,707436735"
Adelaïde,F,50,"0,54501841"
Adélaïde,F,503,"0,649056693"
Adelbert,M,21,"0,914317364"
Adele,F,1379,"0,637517395"
Adèle,F,34870,"0,510650012"
Adèle,M,12,"0,087004435"
Adelheid,F,22,"0,79015797"
Adelia,F,80,"0,882441504"
Adélia,F,31,"0,590978804"
Adelie,F,575,"0,537031002"
Adélie,F,253,"0,804979147"
Adelin,M,33,"0,377281631"
Adelina,F,373,"0,834489142"
Adeline,F,49732,"0,938119819"
Adelino,M,7,"0,425622731"
Adelphe,M,3,"0,310358267"
Adelphine,F,49,"0,013534069"
Adelson,M,19,"0,099560113"
Adelya,F,3,"0,359286226"
Adelyne,F,19,"0,04368302"
Adem,M,8022,"0,586277986"
Ademe,M,9,"0,903435006"
Aden,M,267,"0,928524948"
Aderito,M,13,"0,104044636"
Adham,M,39,"0,636778297"
Adhemar,M,9,"0,244208686"
Adhen,M,3,"0,772341974"
Adia,F,3,"0,101144772"
Adib,M,71,"0,060033668"
Adil,M,3194,"0,746415421"
Adile,M,31,"0,927878981"
Adina,F,6,"0,187827095"
Adine,F,3,"0,859489333"
Aditya,M,3,"0,706212201"
Adixia,F,37,"0,490627444"
Adja,F,183,"0,575953957"
Adjaratou,F,3,"0,63865065"
Adjia,F,6,"0,683805665"
Adjila,F,9,"0,964552987"
Adlane,M,12,"0,667568193"
Adline,F,3,"0,016572305"
Admir,M,3,"0,82600291"
Adna,F,3,"0,767552984"
Adnan,M,134,"0,054711707"
Adnane,M,239,"0,973198457"
Adolf,M,9,"0,383904211"
Adolfo,M,21,"0,321027372"
Adolie,F,4,"0,472015459"
Adolph,M,6,"0,165388912"
Adolphe,F,32,"0,120692079"
Adolphe,M,13675,"0,366696422"
Adolphine,F,1377,"0,353075778"
Adonai,F,6,"0,085083896"
Adonai,M,3,"0,573230518"
Adonaï,M,3,"0,548887303"
Adonis,M,296,"0,977676268"
Adrian,M,3110,"0,701075539"
Adriàn,M,3,"0,024081493"
Adriana,F,1492,"0,540501062"
Adriane,F,42,"0,896358142"
Adriann,M,3,"0,682121532"
Adrianna,F,31,"0,911504637"
Adrianne,F,3,"0,534043314"
Adriano,M,860,"0,921974289"
Adriel,M,134,"0,810367247"
Adrien,M,132724,"0,072171078"
Adrien,F,3,"0,486692709"
Adrienne,F,32164,"0,840556602"
Adryan,M,3,"0,508251714"
Adryen,M,3,"0,016905213"
Aedan,M,324,"0,122867122"
Aédan,M,21,"0,078934286"
Aëdan,M,9,"0,772446295"
Aeden,M,10,"0,917549966"
Ael,M,78,"0,278652375"
Ael,F,8,"0,032008201"
Aël,M,43,"0,841321157"
Aela,F,143,"0,815262918"
Aéla,F,6,"0,233810735"
Aëla,F,50,"0,029656663"
Aelia,F,95,"0,619167832"
Aélia,F,60,"0,203702124"
Aëlia,F,9,"0,43437336"
Aelig,M,14,"0,258579514"
Aelig,F,19,"0,020018122"
Aelis,F,14,"0,360325994"
Aelle,F,3,"0,025004854"
Aëlya,F,4,"0,664597341"
Aelys,F,53,"0,846286335"
Aélys,F,32,"0,626763069"
Aëlys,F,108,"0,086383402"
Aenor,F,23,"0,103677172"
Aénor,F,3,"0,23111324"
Aéris,F,3,"0,930191787"
Aeryn,F,3,"0,413707727"
Afaf,F,27,"0,373401009"
Afef,F,20,"0,744040319"
Affou,F,3,"0,396142313"
Afia,F,3,"0,382264087"
Afida,F,5,"0,21199574"
Afif,M,77,"0,317667892"
Afifa,F,13,"0,018345893"
Afnane,F,9,"0,230964215"
Afonso,M,21,"0,008254063"
Agash,M,6,"0,322919666"
Agata,F,16,"0,70477383"
Agate,F,9,"0,687510617"
Agatha,F,59,"0,217700275"
Agathe,M,95,"0,486754574"
Agathe,F,45236,"0,941380249"
Agathon,M,6,"0,688506722"
Agenor,M,12,"0,986125499"
Aghilas,M,3,"0,73954738"
Aghiles,M,19,"0,864468065"
Aglae,F,442,"0,677710399"
Aglaé,F,75,"0,390067165"
Aglaee,F,21,"0,438392814"
Agnan,M,169,"0,45457255"
Agnan,F,35,"0,930915916"
Agnel,M,13,"0,324012955"
Agnes,F,44,"0,5060784"
Agnès,M,180,"0,95834722"
Agnès,F,108685,"0,263822569"
Agnese,F,25,"0,477299516"
Agniela,F,14,"0,407004993"
Agop,M,5,"0,869293796"
Agostinho,M,39,"0,456861307"
Agostino,M,6,"0,399416048"
Agustin,M,32,"0,359596468"
Agustina,F,3,"0,373279769"
Agustinho,M,6,"0,374037901"
Ah,F,6,"0,564990414"
Ah,M,10,"0,672874918"
Aharon,M,68,"0,522906371"
Ahava,F,3,"0,152508508"
Ahcene,M,131,"0,217638836"
Ahkim,M,3,"0,39204329"
Ahlam,F,155,"0,43265728"
Ahlame,F,12,"0,632477284"
Ahlem,F,490,"0,641284983"
Ahleme,F,9,"0,929364417"
Ahmad,M,339,"0,756027659"
Ahmadou,M,23,"0,200712695"
Ahmed,M,17543,"0,207821638"
Ahmed-Amine,M,6,"0,355341416"
Ahmed-Yacine,M,3,"0,072350125"
Ahmet,M,1173,"0,72759835"
Ahmid,M,3,"0,044437314"
Ahsen,F,6,"0,241926399"
Ai,F,6,"0,839103425"
Aicha,F,8407,"0,200985088"
Aïcha,F,2851,"0,770778215"
Aichat,F,3,"0,425519992"
Aichata,F,11,"0,59264168"
Aïchata,F,10,"0,432150286"
Aichatou,F,10,"0,265167122"
Aïchatou,F,10,"0,715413603"
Aiche,F,9,"0,635209959"
Aida,F,993,"0,867191876"
Aïda,F,419,"0,608239154"
Aidan,M,747,"0,181099321"
Aïdan,M,348,"0,601653367"
Aidann,M,3,"0,442617516"
Aidee,F,41,"0,946668412"
Aiden,M,447,"0,901809314"
Aïden,M,437,"0,773252502"
Aignan,M,3,"0,14219377"
Aiko,F,3,"0,46993184"
Aïko,F,5,"0,039607417"
Aileen,F,18,"0,754021779"
Aïleen,F,3,"0,179123332"
Ailvin,M,3,"0,982679098"
Ailys,F,3,"0,348191277"
Aima,F,9,"0,365438274"
Aimable,M,612,"0,41120131"
Aimad,M,3,"0,243410646"
Aiman,M,48,"0,856011268"
Aimane,M,37,"0,486762101"
Aime,M,35406,"0,436594174"
Aimé,M,127,"0,017763415"
Aimed,M,3,"0,147631001"
Aimee,F,18,"0,620106178"
Aimée,F,24222,"0,255774318"
Aimen,M,288,"0,120010636"
Aimeric,M,44,"0,374441913"
Aimerick,M,3,"0,359346456"
Aimery,M,6,"0,561789137"
Aimie,F,114,"0,643275597"
Aimmee,F,12,"0,400314232"
Aimy,F,456,"0,108059381"
Aina,F,95,"0,971662279"
Aïna,F,206,"0,324759453"
Ainara,F,94,"0,755322304"
Aïnara,F,7,"0,944757641"
Aines,F,22,"0,246764075"
Ainhoa,F,465,"0,937197624"
Aïnhoa,F,86,"0,964323281"
Ainoa,F,43,"0,981441693"
Aïnoa,F,11,"0,30737114"
Aintzane,F,3,"0,716997992"
Aïron,M,3,"0,967106294"
Airy,M,3,"0,653898525"
Aisha,F,174,"0,65838171"
Aïsha,F,281,"0,296478831"
Aissa,M,1140,"0,418835063"
Aissa,F,54,"0,309712672"
Aïssa,M,397,"0,795364513"
Aïssa,F,50,"0,61118777"
Aissam,M,23,"0,634779907"
Aïssam,M,13,"0,324765524"
Aissata,F,1220,"0,593286457"
Aïssata,F,350,"0,514396762"
Aissatou,F,1039,"0,650585853"
Aïssatou,F,294,"0,138537823"
Aisse,F,179,"0,601261342"
Aïssé,F,52,"0,133357735"
Aisseta,F,26,"0,782883929"
Aissetou,F,144,"0,015647704"
Aïssetou,F,13,"0,306300976"
Aitor,M,59,"0,689589657"
Aïtor,M,3,"0,478996234"
Aïvy,F,3,"0,156147242"
Aiya,F,22,"0,635160999"
Aiyana,F,24,"0,623465461"
Aiza,F,13,"0,135738191"
Aïza,F,3,"0,350830663"
Ajan,M,12,"0,278992011"
Ajay,M,32,"0,76636782"
Ajdin,M,3,"0,781561915"
Ajla,F,6,"0,417683973"
Aka,M,3,"0,017700421"
Akash,M,32,"0,719898582"
Akhmad,M,4,"0,963873518"
Akif,M,15,"0,311296596"
Akil,M,32,"0,123458133"
Akila,F,95,"0,726636811"
Akim,M,2038,"0,585417023"
Akima,F,105,"0,590146607"
Akira,M,6,"0,85659768"
Akli,M,208,"0,871072961"
Akram,M,901,"0,647616388"
Akrame,M,3,"0,493275337"
Aksel,M,1234,"0,7657843"
Aksha,F,3,"0,703401463"
Akshan,M,4,"0,254088826"
Akshana,F,3,"0,215365016"
Akshara,F,21,"0,733132578"
Akshay,M,7,"0,127845225"
Akshaya,F,62,"0,792914064"
Akshayan,M,9,"0,019387056"
Aksil,M,366,"0,066853062"
Al,M,54,"0,491382307"
Alaa,F,186,"0,444268175"
Aladin,M,4,"0,523101254"
Aladji,M,13,"0,638039058"
Alae,F,42,"0,763523833"
Alaeddine,M,3,"0,66211472"
Alaia,F,152,"0,164051578"
Alaïa,F,4,"0,155888824"
Alain,M,504098,"0,426505224"
Alain,F,3,"0,903383588"
Alais,F,150,"0,200604744"
Alaïs,F,41,"0,902339052"
Alaitz,F,3,"0,30027765"
Alan,M,17999,"0,311815258"
Alana,F,940,"0,798369855"
Alane,M,22,"0,831550592"
Alanis,F,13,"0,111102156"
Alann,M,66,"0,405220862"
Alannah,F,3,"0,398943663"
Alanzo,M,3,"0,97264477"
Alaoua,M,3,"0,329625491"
Alaric,M,97,"0,516961305"
Alassane,M,573,"0,919881366"
Alastair,M,3,"0,119103165"
Alaya,F,6,"0,229946962"
Alba,F,721,"0,008025161"
Alban,M,22660,"0,405480575"
Alban,F,15,"0,2759149"
Albane,F,7356,"0,544236008"
Albanie,F,585,"0,717170131"
Albano,M,12,"0,809537882"
Alberic,M,320,"0,436997738"
Albéric,M,15,"0,002791298"
Albert,M,201449,"0,514385284"
Albert,F,12,"0,209028372"
Alberta,F,152,"0,190752433"
Alberte,F,6097,"0,029230652"
Albertina,F,11,"0,272200486"
Albertine,F,25752,"0,53132018"
Alberto,M,714,"0,58254862"
Albin,M,1798,"0,186622233"
Albina,F,20,"0,371595567"
Albine,F,160,"0,02359852"
Albino,M,13,"0,494394384"
Albrecht,M,4,"0,169290838"
Alcee,M,9,"0,481614502"
Alcida,F,6,"0,726790973"
Alcide,M,1959,"0,325091117"
Alcidie,F,84,"0,484618665"
Alcime,M,210,"0,904381422"
Alcino,M,3,"0,813672514"
Alda,F,40,"0,921773235"
Alde,M,13,"0,204865243"
Aldegonde,F,41,"0,128875776"
Alderic,M,12,"0,772368868"
Alderick,M,3,"0,458612351"
Aldin,M,3,"0,918466793"
Aldina,F,3,"0,829354769"
Aldjia,F,10,"0,588467858"
Aldo,M,1649,"0,653798901"
Aldric,M,157,"0,494974299"
Aldrick,M,7,"0,189339596"
Alec,M,413,"0,150272819"
Aleck,M,3,"0,368828403"
Aleena,F,3,"0,951438088"
Aleeyah,F,3,"0,790433857"
Alejandro,M,99,"0,450818998"
Alek,M,28,"0,798060933"
Aleks,M,3,"0,627022521"
Aleksa,M,8,"0,045525815"
Aleksandar,M,327,"0,356227052"
Aleksander,M,29,"0,908533791"
Aleksandr,M,3,"0,706610039"
Aleksandra,F,169,"0,046149093"
Alekseï,M,3,"0,888044164"
Alen,M,19,"0,72229966"
Alena,F,33,"0,958731349"
Aléna,F,21,"0,773733525"
Alenzo,M,27,"0,377619357"
Ales,M,22,"0,540338554"
Alès,M,3,"0,186571835"
Alesia,F,14,"0,208673243"
Alesiu,M,5,"0,296328775"
Alessa,F,3,"0,045137953"
Alessandra,F,143,"0,607982463"
Alessandro,M,2082,"0,105125763"
Alessia,F,1604,"0,109567993"
Aléssia,F,3,"0,045998308"
Alessio,M,3598,"0,027432614"
Alessya,F,3,"0,494808923"
Aleth,F,482,"0,338884286"
Alev,F,7,"0,114777104"
Alex,M,26259,"0,52792472"
Alex,F,43,"0,112116834"
Alexa,F,545,"0,937997727"
Alexandar,M,3,"0,062109676"
Alexander,M,1117,"0,460347832"
Alexandra,F,90620,"0,17040879"
Alexandre,M,296931,"0,278595327"
Alexandre,F,24,"0,203184361"
Alexandrie,F,5,"0,095994607"
Alexandrina,F,3,"0,427360484"
Alexandrine,F,9658,"0,001416477"
Alexandro,M,68,"0,467388631"
Alexandru,M,183,"0,251926033"
Alexane,F,1987,"0,797447961"
Alexanne,F,12,"0,486061707"
Alexe,F,9,"0,087086137"
Alexei,M,7,"0,183453038"
Alexeï,M,3,"0,549921983"
Alexi,M,614,"0,075427906"
Alexia,F,34509,"0,498655324"
Alexian,M,88,"0,158587864"
Alexiane,F,826,"0,482751583"
Alexie,F,312,"0,746906028"
Alexin,M,67,"0,965035456"
Alexina,F,451,"0,451203598"
Alexine,F,381,"0,431942879"
Alexio,M,6,"0,078734103"
Alexis,F,45,"0,545208738"
Alexis,M,143723,"0,102828145"
Aléxis,M,8,"0,569623373"
Alexy,F,3,"0,305669093"
Alexy,M,2800,"0,878451683"
Alexys,M,21,"0,548880842"
Aleyna,F,1320,"0,672505981"
Alfio,M,10,"0,399766693"
Alfons,M,3,"0,008094652"
Alfonso,M,133,"0,913958094"
Alfred,F,6,"0,277832009"
Alfred,M,62747,"0,426126423"
Alfreda,F,4590,"0,253719989"
Alfréda,F,9,"0,670953878"
Alfrede,F,3,"0,358544097"
Alfredine,F,449,"0,506376219"
Alfredo,M,302,"0,268784943"
Alhan,M,3,"0,452371942"
Alhassana,M,3,"0,156432132"
Alhassane,M,27,"0,222719196"
Ali,M,22749,"0,130762973"
Alia,F,2125,"0,212091129"
Aliah,F,19,"0,451528269"
Aliana,F,12,"0,700415164"
Aliaume,M,3,"0,256939925"
Alibert,M,7,"0,354433534"
Alic,M,3,"0,049414846"
Alican,M,6,"0,574366087"
Alice,M,5,"0,408308385"
Alice,F,189974,"0,703284028"
Alicia,F,46900,"0,392516564"
Alicja,F,4,"0,476756829"
Alick,M,59,"0,812848503"
Alicya,F,78,"0,034237352"
Alida,F,996,"0,875493318"
Alidor,M,20,"0,664769135"
Alienor,F,1355,"0,169939425"
Aliénor,F,734,"0,452029297"
Aliette,F,1357,"0,969935422"
Alihan,M,6,"0,440547205"
Alim,M,21,"0,538978022"
Alima,F,166,"0,633150982"
Alimata,F,12,"0,046941051"
Alimatou,F,6,"0,800997207"
Alin,M,121,"0,934624234"
Alina,F,729,"0,363521208"
Aline,F,86433,"0,615904363"
Aliocha,M,33,"0,556086954"
Aliou,M,228,"0,019837544"
Alioune,M,90,"0,183548624"
Alisa,F,24,"0,12176129"
Alise,F,6,"0,913264584"
Alisea,F,7,"0,063186048"
Alisee,F,6,"0,578895925"
Alisée,F,3,"0,764155555"
Alisha,F,123,"0,696028633"
Alison,F,14142,"0,854153513"
Alisone,F,13,"0,602340691"
Alissa,F,635,"0,615535347"
Alissia,F,180,"0,771608829"
Alisson,F,2759,"0,549178568"
Alissya,F,6,"0,863357722"
Alistair,M,134,"0,000334131"
Alix,F,19266,"0,175148022"
Alix,M,4665,"0,949197547"
Alixe,F,162,"0,891813833"
Alixia,F,18,"0,093335173"
Aliya,F,3944,"0,600955554"
Aliyah,F,2862,"0,192493835"
Aliza,F,47,"0,937705978"
Alize,F,472,"0,138057864"
Alizé,F,35,"0,561525699"
Alizea,F,115,"0,322274702"
Alizéa,F,7,"0,092853935"
Alizee,F,139,"0,611961862"
Alizée,F,11036,"0,63232935"
Allain,M,1721,"0,536125387"
Allan,M,15427,"0,182017291"
Allande,M,75,"0,029577176"
Allassane,M,10,"0,829708075"
Allegra,F,19,"0,63168861"
Allen,M,6,"0,096318994"
Allia,F,12,"0,39074647"
Alliette,F,6,"0,38513293"
Allison,F,4126,"0,519230519"
Allissia,F,3,"0,131360437"
Allisson,F,155,"0,483264508"
Alliya,F,3,"0,041078579"
Alliyah,F,17,"0,390624145"
Ally,F,6,"0,110987587"
Allya,F,72,"0,204871867"
Allyah,F,32,"0,545244828"
Allyre,M,3,"0,458746366"
Allyson,F,70,"0,11441162"
Allyssia,F,3,"0,890524892"
Alma,F,1881,"0,025680548"
Almamy,M,51,"0,548572488"
Almina,F,12,"0,391602003"
