FirstName,Gender,Popularity
Aglae,F,442
Aglaé,F,75
Aglaee,F,21
Agnan,M,169
Agnan,F,35
Agnel,M,13
Agnes,F,44
Agnès,M,180
Agnès,F,108685
Agnese,F,25
Agniela,F,14
Agop,M,5
Agostinho,M,39
Agostino,M,6
Agustin,M,32
Agustina,F,3
Agustinho,M,6
Ah,F,6
Ah,M,10
Aharon,M,68
Ahava,F,3
Ahcene,M,131
Ahkim,M,3
Ahlam,F,155
Ahlame,F,12
Ahlem,F,490
Ahleme,F,9
Ahmad,M,339
Ahmadou,M,23
Ahmed,M,17543
Ahmed-Amine,M,6
Ahmed-Yacine,M,3
Ahmet,M,1173
Ahmid,M,3
Ahsen,F,6
Ai,F,6
Aicha,F,8407
Aïcha,F,2851
Aichat,F,3
Aichata,F,11
Aïchata,F,10
Aichatou,F,10
Aïchatou,F,10
Aiche,F,9
Aida,F,993
Aïda,F,419
Aidan,M,747
Aïdan,M,348
Aidann,M,3
Aidee,F,41
Aiden,M,447
Aïden,M,437
Aignan,M,3
Aiko,F,3
Aïko,F,5
Aileen,F,18
Aïleen,F,3
Ailvin,M,3
Ailys,F,3
Aima,F,9
Aimable,M,612
Aimad,M,3
Aiman,M,48
Aimane,M,37
Aime,M,35406
Aimé,M,127
Aimed,M,3
Aimee,F,18
Aimée,F,24222
Aimen,M,288
Aimeric,M,44
Aimerick,M,3
Aimery,M,6
Aimie,F,114
Aimmee,F,12
Aimy,F,456
Aina,F,95
Aïna,F,206
Ainara,F,94
Aïnara,F,7
Aines,F,22
Ainhoa,F,465
Aïnhoa,F,86
Ainoa,F,43
Aïnoa,F,11
Aintzane,F,3
Aïron,M,3
Airy,M,3
Aisha,F,174
Aïsha,F,281
Aissa,M,1140
Aissa,F,54
Aïssa,M,397
Aïssa,F,50
Aissam,M,23
Aïssam,M,13
Aissata,F,1220
Aïssata,F,350
Aissatou,F,1039
Aïssatou,F,294
Aisse,F,179
Aïssé,F,52
Aisseta,F,26
Aissetou,F,144
Aïssetou,F,13
Aitor,M,59
Aïtor,M,3
Aïvy,F,3
Aiya,F,22
Aiyana,F,24
Aiza,F,13
Aïza,F,3
Ajan,M,12
Ajay,M,32
Ajdin,M,3
Ajla,F,6
Aka,M,3
Akash,M,32
Akhmad,M,4
Akif,M,15
Akil,M,32
Akila,F,95
Akim,M,2038
Akima,F,105
Akira,M,6
Akli,M,208
Akram,M,901
Akrame,M,3
Aksel,M,1234
Aksha,F,3
Akshan,M,4
Akshana,F,3
Akshara,F,21
Akshay,M,7
Akshaya,F,62
Akshayan,M,9
Aksil,M,366
Al,M,54
Alaa,F,186
Aladin,M,4
Aladji,M,13
Alae,F,42
Alaeddine,M,3
Alaia,F,152
Alaïa,F,4
Alain,M,504098
Alain,F,3
Alais,F,150
Alaïs,F,41
Alaitz,F,3
Alan,M,17999
Alana,F,940
Alane,M,22
Alanis,F,13
Alann,M,66
Alannah,F,3
Alanzo,M,3
Alaoua,M,3
Alaric,M,97
Alassane,M,573
Alastair,M,3
Alaya,F,6
Alba,F,721
Alban,M,22660
Alban,F,15
Albane,F,7356
Albanie,F,585
Albano,M,12
Alberic,M,320
Albéric,M,15
Albert,M,201449
Albert,F,12
Alberta,F,152
Alberte,F,6097
Albertina,F,11
Albertine,F,25752
Alberto,M,714
Albin,M,1798
Albina,F,20
Albine,F,160
Albino,M,13
Albrecht,M,4
Alcee,M,9
Alcida,F,6
Alcide,M,1959
Alcidie,F,84
Alcime,M,210
Alcino,M,3
Alda,F,40
Alde,M,13
Aldegonde,F,41
Alderic,M,12
Alderick,M,3
Aldin,M,3
Aldina,F,3
Aldjia,F,10
Aldo,M,1649
Aldric,M,157
Aldrick,M,7
Alec,M,413
Aleck,M,3
Aleena,F,3
Aleeyah,F,3
Alejandro,M,99
Alek,M,28
Aleks,M,3
Aleksa,M,8
Aleksandar,M,327
Aleksander,M,29
Aleksandr,M,3
Aleksandra,F,169
Alekseï,M,3
Alen,M,19
Alena,F,33
Aléna,F,21
Alenzo,M,27
Ales,M,22
Alès,M,3
Alesia,F,14
Alesiu,M,5
Alessa,F,3
Alessandra,F,143
Alessandro,M,2082
Alessia,F,1604
Aléssia,F,3
Alessio,M,3598
Alessya,F,3
Aleth,F,482
Alev,F,7
Alex,M,26259
Alex,F,43
Alexa,F,545
Alexandar,M,3
Alexander,M,1117
Alexandra,F,90620
Alexandre,M,296931
Alexandre,F,24
Alexandrie,F,5
Alexandrina,F,3
Alexandrine,F,9658
Alexandro,M,68
Alexandru,M,183
Alexane,F,1987
Alexanne,F,12
Alexe,F,9
Alexei,M,7
Alexeï,M,3
Alexi,M,614
Alexia,F,34509
Alexian,M,88
Alexiane,F,826
Alexie,F,312
Alexin,M,67
Alexina,F,451
Alexine,F,381
Alexio,M,6
Alexis,F,45
Alexis,M,143723
Aléxis,M,8
Alexy,F,3
Alexy,M,2800
Alexys,M,21
Aleyna,F,1320
Alfio,M,10
Alfons,M,3
Alfonso,M,133
Alfred,F,6
Alfred,M,62747
Alfreda,F,4590
Alfréda,F,9
Alfrede,F,3
Alfredine,F,449
Alfredo,M,302
Alhan,M,3
Alhassana,M,3
Alhassane,M,27
Ali,M,22749
Alia,F,2125
Aliah,F,19
Aliana,F,12
Aliaume,M,3
Alibert,M,7
Alic,M,3
Alican,M,6
Alice,M,5
Alice,F,189974
Alicia,F,46900
Alicja,F,4
Alick,M,59
Alicya,F,78
Alida,F,996
Alidor,M,20
Alienor,F,1355
Aliénor,F,734
Aliette,F,1357
Alihan,M,6
Alim,M,21
Alima,F,166
Alimata,F,12
Alimatou,F,6
Alin,M,121
Alina,F,729
Aline,F,86433
Aliocha,M,33
Aliou,M,228
Alioune,M,90
Alisa,F,24
Alise,F,6
Alisea,F,7
Alisee,F,6
Alisée,F,3
Alisha,F,123
Alison,F,14142
Alisone,F,13
Alissa,F,635
Alissia,F,180
Alisson,F,2759
Alissya,F,6
Alistair,M,134
Alix,F,19266
Alix,M,4665
Alixe,F,162
Alixia,F,18
Aliya,F,3944
Aliyah,F,2862
Aliza,F,47
Alize,F,472
Alizé,F,35
Alizea,F,115
Alizéa,F,7
Alizee,F,139
Alizée,F,11036
Allain,M,1721
Allan,M,15427
Allande,M,75
Allassane,M,10
Allegra,F,19
Allen,M,6
Allia,F,12
Alliette,F,6
Allison,F,4126
Allissia,F,3
Allisson,F,155
Alliya,F,3
Alliyah,F,17
Ally,F,6
Allya,F,72
Allyah,F,32
Allyre,M,3
Allyson,F,70
Allyssia,F,3
Alma,F,1881
Almamy,M,51
Almina,F,12
Almira,F,4
Almire,M,103
Alodie,F,18
Alois,M,2210
Aloïs,M,1235
Aloise,F,20
Aloise,M,1615
Aloïse,F,18
Alon,M,130
Alona,F,6
Alone,M,74
Alonso,M,6
Alonzo,M,254
Alou,M,3
Aloys,M,277
Aloyse,F,4
Aloyse,M,2413
Alparslan,M,9
Alper,M,59
Alperen,M,86
Alpha,M,258
Alphee,M,17
Alphena,F,3
Alphonse,F,12
Alphonse,M,40292
Alphonsia,F,28
Alphonsine,F,11236
Alphonso,M,10
Alric,M,6
Alrick,M,6
Alsace,F,38
Altan,M,3
Althea,F,22
Althéa,F,3
Altin,M,6
Alvaro,M,60
Alvin,M,708
Alvina,F,65
Alvine,F,47
Alvyn,M,23
Alwena,F,747
Alwenn,F,3
Alwenna,F,56
Alwin,M,13
Alwine,F,16
Aly,M,383
Alya,F,4570
Alyah,F,652
Alyan,M,3
Alyana,F,45
Alyanna,F,6
Alyce,F,3
Alycia,F,3974
Alyette,F,13
Alyna,F,9
Alyne,F,3
Alyre,M,8
Alys,F,15
Alysee,F,16
Alysha,F,6
Alyson,F,1300
Alysone,F,3
Alyssa,F,8657
Alyssia,F,2407
Alysson,F,269
Alyxe,F,3
Alyzéa,F,4
Alyzee,F,49
Alyzée,F,6
Alzina,F,3
Alzira,F,7
Alzire,F,6
Amable,M,65
Amadeo,M,10
Amadi,M,3
Amadou,M,1891
Amael,M,197
Amaël,M,165
Amaelle,F,12
Amaia,F,681
Amaïa,F,85
Amaiur,M,23
Amal,M,3
Amal,F,1810
Amale,F,93
Amalia,F,1155
Amalie,F,108
Amalya,F,162
Aman,M,6
Amana,F,16
Amance,F,8
Amand,M,2535
Amanda,F,3767
Amande,F,12
Amandine,F,94353
Amandio,M,3
Amane,M,3
Amane,F,13
Amani,F,423
Amanie,F,3
Amans,M,70
Amante,F,21
Amanthe,F,32
Amantine,F,6
Amany,F,9
Amar,M,4215
Amara,M,367
Amara,F,132
Amaria,F,89
Amarine,F,3
Amaryllis,F,7
Amateur,M,11
Amaury,M,15775
Amaya,F,635
Amayas,M,87
Amber,F,109
Ambre,F,43182
Ambrine,F,1752
Ambroise,F,37
Ambroise,M,3986
Ambroisine,F,1157
Amed,M,3
Amede,M,245
Amedee,F,160
Amedee,M,4731
Amedeo,M,6
Amedine,F,4
Ameena,F,3
Amel,M,3
Amel,F,9643
Amele,F,60
Amelia,F,813
Amélia,F,7589
Amelie,F,404
Amélie,F,94138
Amélie,M,16
Amelien,M,3
Amélien,M,3
Amelina,F,52
Ameline,F,790
Améline,F,9
Amelio,M,3
Amelius,M,40
Amelle,F,572
Amely,F,6
Amély,F,7
Amelya,F,47
Amélya,F,84
Amelyne,F,3
Amena,F,3
Amen-Allah,M,3
Ameni,F,3
Amer,M,3
Americo,M,23
Amerouche,M,3
Amets,M,19
Ameur,M,16
Ameziane,M,3
Ami,F,9
Amicie,F,165
Amidou,M,3
Amiel,M,9
Amilcar,M,8
Amin,M,2012
Amîn,M,6
Amina,F,10149
Aminat,F,6
Aminata,F,5920
Aminatou,F,9
Amine,M,21149
Amine,F,9
Amir,M,10339
Amira,F,5503
Amjad,M,391
Amjed,M,24
Ammar,M,36
Amna,F,93
Amode,M,35
Amokrane,M,4
Amor,M,61
Amory,M,34
Amos,M,69
Amour,F,56
Amour,M,126
Amparo,F,77
Amr,M,6
Amy,F,1925
Amyna,F,3
Amyr,M,3
Ana,F,8021
Anabel,F,73
Anabela,F,291
Ana-Bela,F,13
Anabella,F,24
Anabelle,F,647
Anaclet,M,34
Ana-Cristina,F,3
Anae,F,2396
Anaé,F,3233
Anaë,F,482
Anaee,F,3
Anael,M,343
Anael,F,373
Anaël,M,167
Anaël,F,43
Anaele,F,27
Anaelle,F,16328
Anaëlle,F,4618
Anahé,F,4
Anahide,F,3
Anahit,F,6
Anahita,F,18
Anaia,F,3
Anaïa,F,22
Anaick,F,6
Anaig,F,13
Anaik,F,3
Anais,F,3302
Anaïs,F,127338
Anaise,F,369
Anaiz,F,3
Anakin,M,31
Analya,F,3
Anamaria,F,7
Ana-Maria,F,206
Ananya,F,4
Ana-Paula,F,18
Anas,M,6898
Anass,M,977
Anasse,M,29
Anastacia,F,13
Anastase,M,322
Anastase,F,3
Anastasia,F,4620
Anastasie,M,7
Anastasie,F,1826
Anastassia,F,31
Anasthase,M,32
Anasthasia,F,55
Anasthasie,F,129
Anathalie,F,13
Anathilde,F,3
Anatole,F,28
Anatole,M,5982
Anatolie,F,32
Anatoline,F,13
Anaya,F,391
Anayah,F,6
Anays,F,9
Ancelin,M,22
Anceline,F,4
Andde,M,32
Andeol,M,19
Andéol,M,3
Ander,M,22
Anderson,M,384
Andgel,M,6
Andi,M,6
Andjaly,F,6
Andjela,F,13
Andoche,M,173
Andoche,F,84
Andoni,M,459
Andony,M,15
Andra,F,22
Andre,M,88
André,M,709651
André,F,65
Andrea,M,2607
Andrea,F,1078
Andréa,M,3757
Andréa,F,39503
Andreane,F,10
Andreanne,F,16
Andreas,M,1441
Andréas,M,278
Andrée,M,3
Andrée,F,214007
Andreea,F,56
Andrei,M,235
Andreï,M,3
Andreia,F,175
Andreline,F,9
André-Marie,M,18
Andrena,F,3
André-Pierre,M,54
Andres,M,153
Andrés,M,12
Andrese,F,3
Andresia,F,3
Andresine,F,3
Andressa,F,7
Andrette,F,3
Andreus,M,7
Andrew,M,1744
Andreze,F,3
Andria,M,217
Andriano,M,3
Andrijana,F,3
Andris,M,3
Andry,M,18
Andy,M,9676
Andy,F,3
Anea,F,3
Anel,M,3
Anelia,F,13
Anélia,F,12
